<<<<<<< HEAD
,Area,Area Bounding Box,Area Convex,Area Filled,Axis Major Length,Axis Minor Length,Centroid X,Centroid Y,Eccentricity,Extent,Equivalent Diameter,Feret Diameter Max,Perimeter,Solidity,Orientation,Aspect Ratio,Circularity,Convexity,Irregularity Index,Roundness,Shape Factor,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7
Area,1.0,0.990294422327859,0.9963466259983845,1.0,0.9720813555316604,0.9825964287435197,0.9549938968250465,0.9520250159917177,-0.14132843665623965,0.21367141337353845,1.0,0.9700492874425186,0.9317254265925987,0.15886230626449635,-0.012038306092829689,-0.14132843665623965,-0.18515644906181683,-0.30267991584614984,0.18515644906181683,0.17981932793585073,0.18515644906181683,-0.9987793871474056,-0.8581686351722905,-0.8960379549877554,-0.8392005187337338,-0.056190323932430376,-0.07378612292510875,-0.001164314359295604
Area Bounding Box,0.990294422327859,1.0,0.9957110806873262,0.990294422327859,0.9745130896397485,0.9712678952434615,0.9655853296935316,0.9641085385919109,-0.11119469532325368,0.09421313175619267,0.990294422327859,0.9809305381363328,0.9561353050291772,0.0651959910637495,-0.011174607990994252,-0.11119469532325368,-0.26401807918243775,-0.36266510804706387,0.26401807918243775,0.13233489877668092,0.26401807918243775,-0.992393861292927,-0.8681942200885291,-0.9134596674413309,-0.8642014415269293,-0.06665768788664331,-0.08209404456307187,3.976523985888459e-05
Area Convex,0.9963466259983845,0.9957110806873262,1.0,0.9963466259983845,0.9757834145716451,0.9787771095981622,0.9609916783171407,0.9586975043077407,-0.12365410413973014,0.15708912839961453,0.9963466259983845,0.9790592884911322,0.9548780839537061,0.08536229707097524,-0.013743006227991492,-0.12365410413973014,-0.24900628787505552,-0.3565610180382842,0.24900628787505552,0.14927244612417212,0.24900628787505552,-0.99731839945658,-0.8656673035201459,-0.9077664133825915,-0.8573403107722525,-0.06141567471506335,-0.07850684212683068,-0.0002624133288870043
Area Filled,1.0,0.990294422327859,0.9963466259983845,1.0,0.9720813555316604,0.9825964287435197,0.9549938968250465,0.9520250159917177,-0.14132843665623965,0.21367141337353845,1.0,0.9700492874425186,0.9317254265925987,0.15886230626449635,-0.012038306092829689,-0.14132843665623965,-0.18515644906181683,-0.30267991584614984,0.18515644906181683,0.17981932793585073,0.18515644906181683,-0.9987793871474056,-0.8581686351722905,-0.8960379549877554,-0.8392005187337338,-0.056190323932430376,-0.07378612292510875,-0.001164314359295604
Axis Major Length,0.9720813555316604,0.9745130896397485,0.9757834145716451,0.9720813555316604,1.0,0.918036689552775,0.9473466730757771,0.9489781625605438,0.048519328281054076,0.13626173276130937,0.9720813555316604,0.9916457153573699,0.9322429696981623,0.08385400323539229,-0.015690438924052873,0.048519328281054076,-0.24413993269600606,-0.32356614385327553,0.24413993269600606,-0.013549340774235542,0.24413993269600606,-0.9811092459544053,-0.9395174399270911,-0.9031677642997546,-0.8890733287869488,-0.08540236284899544,-0.0916320452813237,-0.0005194614221974414
Axis Minor Length,0.9825964287435197,0.9712678952434615,0.9787771095981622,0.9825964287435197,0.918036689552775,1.0,0.9312766178107429,0.928720477149521,-0.2911253432186986,0.22179644765117643,0.9825964287435197,0.9260162353686694,0.9141043536416359,0.15818969091669033,-0.00885777973495953,-0.2911253432186986,-0.17895632084973637,-0.3096789808680969,0.17895632084973637,0.31618423577608784,0.17895632084973637,-0.9757247050579883,-0.7646180849427994,-0.8777938257305365,-0.7907653959292564,-0.03502340544207652,-0.05928870958937105,-4.63311384838745e-05
Centroid X,0.9549938968250465,0.9655853296935316,0.9609916783171407,0.9549938968250465,0.9473466730757771,0.9312766178107429,1.0,0.8871101037667484,-0.06865502233812516,0.07842404933162211,0.9549938968250465,0.9544951826166229,0.9276174518017876,0.051820806710313624,-0.02307507649885882,-0.06865502233812516,-0.26919736413873513,-0.36152447546765043,0.26919736413873513,0.08969311226902929,0.26919736413873513,-0.95756678466014,-0.8573591449004858,-0.8902516799953661,-0.8517645889564109,-0.07838246220687592,-0.09690447362576046,-0.0017808409269623941
Centroid Y,0.9520250159917177,0.9641085385919109,0.9586975043077407,0.9520250159917177,0.9489781625605438,0.928720477149521,0.8871101037667484,1.0,-0.08723547052996843,0.07283969774619008,0.9520250159917177,0.9557163072699022,0.922713750434816,0.04989158320863071,-0.010000655287786977,-0.08723547052996843,-0.2630858027994228,-0.3423376126021947,0.2630858027994228,0.10480793973352602,0.2630858027994228,-0.9573029479824429,-0.8505454385302551,-0.8859822482642687,-0.8470493505670896,-0.06050097636838467,-0.07257441944002377,-0.0015713467757965654
Eccentricity,-0.14132843665623965,-0.11119469532325368,-0.12365410413973014,-0.14132843665623965,0.048519328281054076,-0.2911253432186986,-0.06865502233812516,-0.08723547052996843,1.0,-0.24530747415969725,-0.14132843665623965,0.010348757640317037,-0.06302640656194201,-0.22482268162514704,0.005205055592157216,1.0,-0.1534707489533106,-0.040206875083603884,0.1534707489533106,-0.9707611292660902,0.1534707489533106,0.11413743030925833,-0.3274482682066867,0.050809986231663926,-0.12211296244669666,-0.10784418808697221,-0.08094707524954067,-0.007185631674507201
Extent,0.21367141337353845,0.09421313175619267,0.15708912839961453,0.21367141337353845,0.13626173276130937,0.22179644765117643,0.07842404933162211,0.07283969774619008,-0.24530747415969725,1.0,0.21367141337353845,0.08317141471666056,-0.02087990419296623,0.77043691727989,-0.0016105103795987024,-0.24530747415969725,0.6056888268833382,0.45570022269868204,-0.6056888268833382,0.3869985045497955,-0.6056888268833382,-0.19349133074149,-0.06895670870207382,-0.030254719185648343,0.03542273773834578,0.03973749007154194,0.04367155171449405,-0.021639686326055372
Equivalent Diameter,1.0,0.990294422327859,0.9963466259983845,1.0,0.9720813555316604,0.9825964287435197,0.9549938968250465,0.9520250159917177,-0.14132843665623965,0.21367141337353845,1.0,0.9700492874425186,0.9317254265925987,0.15886230626449635,-0.012038306092829689,-0.14132843665623965,-0.18515644906181683,-0.30267991584614984,0.18515644906181683,0.17981932793585073,0.18515644906181683,-0.9987793871474056,-0.8581686351722905,-0.8960379549877554,-0.8392005187337338,-0.056190323932430376,-0.07378612292510875,-0.001164314359295604
Feret Diameter Max,0.9700492874425186,0.9809305381363328,0.9790592884911322,0.9700492874425186,0.9916457153573699,0.9260162353686694,0.9544951826166229,0.9557163072699022,0.010348757640317037,0.08317141471666056,0.9700492874425186,1.0,0.9501337068407847,0.028209681520081072,-0.01602995964374516,0.010348757640317037,-0.29289594907467836,-0.36404930339328667,0.29289594907467836,0.00997965428389391,0.29289594907467836,-0.9791575276867093,-0.9172693477749322,-0.9130407438090071,-0.8961830509701731,-0.09177813682030762,-0.09876652469526087,-0.0036939115174190965
